respondent_id,submitted_at,duration_raw,source,source_detail,ip_address,q3_morning_commute_minutes,q4_evening_commute_minutes,q5_route_type,q6_morning_congestion_minutes,q7_evening_congestion_minutes,q8_1_congestion_problem,q8_2_reroute_frequency,q8_3_confidence,q8_4_return_normal,q9_car_nav,q9_phone_nav,q9_social_media,q9_web_announcement,q9_radio_announcement,q9_tv_announcement,q9_word_of_mouth,q9_visual_confirmation,q9_none,q9_other,q10_when_seek_info,q11_1_seek_info,q11_2_disagree_guidance,q11_3_ignore_guidance,q11_4_cancel_trip,q12_1_workzone,q12_2_special_event,q12_3_weather,q12_4_peak,q12_5_incident,q13_delay_threshold_minutes,q14_1_prefer_familiar,q14_2_familiar_enables_detour,q14_3_prefer_highway,q14_4_reliability_important,q14_5_multi_choices,q14_6_no_detour_if_longer,q14_7_lane_closure_impact,q14_8_choose_smooth,q14_9_immediate_detour,q14_1_prefer_familiar_1,q14_1_prefer_familiar_2,q14_1_prefer_familiar_3,q14_1_prefer_familiar_4,q14_1_prefer_familiar_5,q14_1_prefer_familiar_6,q14_1_prefer_familiar_7,q14_1_prefer_familiar_8,q14_1_prefer_familiar_9,q14_2_familiar_enables_detour_1,q15_wait_before_detour_minutes,q16_1_commute_am,q16_2_commute_pm,q16_3_shopping,q16_4_leisure,q16_5_long_trip,q16_6_emergency,q17_gender,q18_age,q19_ethnicity,q20_income,q21_occupation,q22_education,q24_vehicle_nav,q25_home_location,q26_work_location,total_score,duration_seconds,num_info_channels,info_channel_binary,delta_commute_minutes,avg_commute_minutes,congestion_ratio_morning,congestion_ratio_evening,overall_congestion_ratio,delay_minus_wait,risk_aversion_index,comfort_preference_index,efficiency_orientation_index,information_dependency_index,target_reroute_high,target_low_delay_tolerance,q5_route_type_1,q5_route_type_2,q5_route_type_3,q5_route_type_<NA>,q25_home_location_1,q25_home_location_2,q25_home_location_3,q25_home_location_4,q25_home_location_<NA>,q26_work_location_1,q26_work_location_2,q26_work_location_3,q26_work_location_4,q26_work_location_<NA>
279,2023-04-19 10:02:17,323秒,样本服务,,120.194.99.218(河南-南阳),29,51,2,10,15,4,5,3,4,0,1,0,0,0,0,0,0,0,0,2,5,4,5,3,3,5,4,5,4,12,4,5,3,4,4,4,5,4,5,3,4,5,4,5,4,3,4,5,2,6,5,4,4,3,4,5,1,31,1,5,1,5,1,4,4,312,323.0,1,1,22,40.0,0.3448275862068966,0.29411764705882354,0.3125,6,,0.75,0.9,0.5625,1,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False
135,2023-04-18 10:41:04,506秒,样本服务,,27.128.19.240(河北-石家庄),30,35,2,11,15,4,4,5,4,1,1,0,0,0,0,0,1,0,0,5,4,2,2,3,5,4,4,5,4,16,5,4,4,5,4,3,4,4,3,4,4,4,4,4,3,3,4,2,4,16,4,4,3,4,4,5,2,31,1,5,1,5,1,4,4,302,506.0,3,1,5,32.5,0.36666666666666664,0.42857142857142855,0.4,0,,0.75,0.6166666666666667,0.5625,1,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False
989,2023-04-21 17:06:46,361秒,样本服务,,223.90.57.47(河南-焦作),34,33,3,45,42,4,5,5,4,1,1,0,0,0,0,0,0,0,0,3,4,3,2,3,5,4,4,5,5,30,5,4,3,4,3,3,5,3,3,4,5,5,4,4,4,4,3,3,5,30,4,3,3,2,3,4,2,24,1,2,6,4,1,1,2,386,361.0,2,1,-1,33.5,1.3235294117647058,1.2727272727272727,1.2985074626865671,0,,0.625,0.5,0.5,1,0,False,False,True,False,True,False,False,False,False,False,True,False,False,False
684,2023-04-20 14:02:53,561秒,样本服务,,210.22.80.154(上海-上海),60,60,2,10,15,4,3,3,4,1,1,0,0,0,0,0,0,0,0,1,4,3,3,4,5,5,4,4,5,20,5,4,4,5,4,4,5,5,4,4,3,5,5,4,4,3,4,1,5,15,5,4,3,3,4,5,2,28,1,6,1,5,1,4,4,363,561.0,2,1,0,60.0,0.16666666666666666,0.25,0.20833333333333334,5,,0.875,0.7083333333333334,0.5,0,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False
1371,2023-04-23 10:24:14,302秒,样本服务,,125.62.3.247(重庆-重庆),38,57,2,22,38,5,4,3,4,1,1,1,1,1,1,1,1,0,0,2,4,2,3,2,4,3,2,5,4,8,2,3,4,5,4,4,5,2,3,4,4,5,4,3,4,5,4,5,3,14,4,3,5,4,2,3,2,35,1,5,1,5,1,4,4,353,302.0,8,1,19,47.5,0.5789473684210527,0.6666666666666666,0.631578947368421,-6,,0.25,0.6833333333333333,0.875,1,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False
218,2023-04-18 17:54:12,555秒,样本服务,,117.136.67.82(江苏-苏州),59,70,3,15,20,4,4,3,5,1,1,0,0,1,0,0,1,0,0,2,4,2,2,1,5,5,5,4,4,17,5,1,4,5,5,3,4,5,4,4,4,4,4,4,4,5,3,2,4,19,4,4,3,2,5,5,1,33,1,6,1,6,1,3,3,380,555.0,4,1,11,64.5,0.2542372881355932,0.2857142857142857,0.2713178294573643,-2,,1.0,0.7333333333333334,0.625,1,0,False,False,True,False,False,False,True,False,False,False,False,True,False,False
455,2023-04-19 15:33:11,319秒,样本服务,,118.115.1.226(四川-成都),10,20,3,5,10,3,3,4,4,0,1,0,0,0,0,0,0,0,0,3,2,2,2,2,5,5,5,4,3,20,5,4,3,3,4,3,4,4,3,4,4,4,4,3,3,3,4,3,3,30,2,3,4,3,4,4,1,28,1,3,1,4,1,4,4,257,319.0,1,1,10,15.0,0.5,0.5,0.5,-10,,0.875,0.5833333333333334,0.1875,0,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False
875,2023-04-21 10:00:13,384秒,样本服务,,171.219.27.35(四川-成都),38,46,1,5,10,5,4,3,2,1,1,1,0,0,0,1,1,0,0,1,5,3,4,2,5,5,3,4,3,10,4,5,4,5,4,3,4,5,3,4,5,2,3,3,4,3,4,3,5,10,4,5,2,2,5,4,2,22,1,3,3,5,1,4,4,286,384.0,5,1,8,42.0,0.13157894736842105,0.21739130434782608,0.17857142857142858,0,,0.75,0.6666666666666667,0.8125,1,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False
917,2023-04-21 10:06:04,353秒,样本服务,,118.123.175.50(四川-成都),31,45,2,4,11,4,3,2,3,1,0,0,0,0,0,0,1,0,0,3,4,2,2,3,4,4,3,2,5,24,5,3,4,4,4,3,4,3,2,4,4,4,5,3,3,4,4,2,5,24,3,4,2,2,4,5,2,44,1,3,1,5,1,4,4,316,353.0,2,1,14,38.0,0.12903225806451613,0.24444444444444444,0.19736842105263158,0,,0.5,0.425,0.5,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False
824,2023-04-21 09:53:44,364秒,样本服务,,39.144.41.54(贵州-毕节),56,36,2,32,21,4,4,3,4,1,1,1,0,0,0,0,0,0,0,3,4,2,2,2,4,2,4,2,4,30,2,5,4,4,4,3,4,4,1,3,4,5,4,2,4,4,4,2,4,20,3,3,2,1,3,4,1,28,1,3,1,5,1,4,4,349,364.0,3,1,-20,46.0,0.5714285714285714,0.5833333333333334,0.5760869565217391,10,,0.75,0.25,0.5625,1,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False
1155,2023-04-22 09:41:49,957秒,样本服务,,110.7.32.249(内蒙古-呼伦贝尔),5,3,3,5,4,4,2,5,2,0,1,0,0,0,0,0,1,0,0,1,2,2,4,2,5,4,4,4,5,10,5,1,2,2,3,5,5,4,3,5,3,4,5,2,4,4,5,4,2,10,4,2,5,4,5,5,2,60,1,2,1,4,2,4,4,237,957.0,2,1,-2,4.0,1.0,1.3333333333333333,1.125,0,,0.75,0.6666666666666667,0.25,0,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False
550,2023-04-20 09:52:56,392秒,样本服务,,61.148.243.205(北京-北京),70,85,1,20,35,5,4,4,5,1,1,1,0,1,1,1,1,0,0,5,5,2,4,1,5,4,5,5,4,10,5,4,4,5,4,5,5,4,5,4,5,5,4,5,4,5,4,1,5,10,5,4,4,5,5,4,1,29,1,7,1,4,1,3,4,424,392.0,7,1,15,77.5,0.2857142857142857,0.4117647058823529,0.3548387096774194,0,,0.875,0.9166666666666667,0.9375,1,1,True,False,False,False,False,False,True,False,False,False,False,False,True,False
1337,2023-04-23 10:18:41,620秒,样本服务,,117.141.4.205(广西-南宁),35,40,2,40,45,5,5,4,3,1,0,0,0,0,0,0,1,0,0,5,4,4,3,3,5,5,5,4,5,20,5,5,3,5,5,3,3,5,3,5,3,4,4,4,4,3,3,2,4,10,5,4,3,4,5,5,2,34,1,3,1,5,1,4,4,380,620.0,2,1,5,37.5,1.1428571428571428,1.125,1.1333333333333333,10,,1.0,0.5833333333333334,0.5,1,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False
346,2023-04-19 10:11:18,573秒,样本服务,,116.227.134.241(上海-上海),30,25,2,5,2,3,3,4,4,1,1,0,0,0,0,0,0,0,0,3,3,4,2,4,4,5,3,4,5,10,5,4,5,4,5,5,4,5,2,3,4,5,5,4,5,3,4,1,5,10,5,4,3,4,5,5,2,32,1,5,1,5,1,4,4,268,573.0,2,1,-5,27.5,0.16666666666666666,0.08,0.12727272727272726,0,,0.75,0.5416666666666667,0.375,0,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False
984,2023-04-21 17:04:17,479秒,样本服务,,223.198.161.16(海南-海口),47,55,2,34,39,4,5,4,3,1,1,0,0,0,1,0,0,0,0,1,4,5,3,4,2,3,4,4,3,36,4,5,4,3,4,5,4,4,3,4,3,4,3,4,4,3,2,3,4,38,4,3,4,5,4,3,2,31,1,2,1,4,1,3,3,423,479.0,3,1,8,51.0,0.723404255319149,0.7090909090909091,0.7156862745098039,-2,,0.75,0.45,0.5625,1,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False
914,2023-04-21 10:05:49,759秒,样本服务,,117.136.88.95(湖南-长沙),20,15,2,10,5,5,5,3,2,1,1,0,0,1,0,0,1,0,0,5,5,2,3,3,5,3,4,3,5,7,5,5,3,5,5,4,5,2,5,4,3,5,4,4,4,3,3,1,5,7,5,3,3,2,4,5,2,28,1,4,2,5,1,2,4,239,759.0,4,1,-5,17.5,0.5,0.3333333333333333,0.42857142857142855,0,,0.5,0.9416666666666667,0.75,1,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False
1345,2023-04-23 10:20:09,401秒,样本服务,,210.21.68.12(广东-广州),35,29,3,21,25,5,3,4,4,1,1,0,0,0,0,0,0,0,0,5,5,3,3,4,4,4,3,4,5,17,4,3,2,4,4,4,4,3,3,4,4,5,4,4,4,4,3,2,4,10,3,3,4,3,4,4,1,36,1,5,2,5,1,4,4,316,401.0,2,1,-6,32.0,0.6,0.8620689655172413,0.71875,7,,0.5,0.6083333333333334,0.625,0,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False
1405,2023-04-23 10:34:46,827秒,样本服务,,27.45.72.26(广东-江门),45,30,2,12,6,5,4,4,5,1,1,0,0,1,0,0,1,0,0,3,5,3,2,4,5,3,3,4,5,12,5,4,3,4,4,5,5,3,4,4,3,5,3,4,4,4,3,2,4,11,4,3,4,4,3,5,1,34,1,3,1,5,1,3,4,300,827.0,4,1,-15,37.5,0.26666666666666666,0.2,0.24,1,,0.5,0.775,0.75,1,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False
986,2023-04-21 17:05:48,307秒,样本服务,,111.7.106.3(河南-郑州),35,40,2,10,15,5,5,4,5,1,1,1,0,0,0,0,1,0,0,5,5,1,1,4,5,4,4,5,5,15,5,5,2,5,5,5,5,2,1,4,4,5,4,5,5,4,4,1,5,15,5,4,2,4,5,5,2,35,1,7,1,5,1,4,4,321,307.0,4,1,5,37.5,0.2857142857142857,0.375,0.3333333333333333,0,,0.5,0.375,0.75,1,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False
197,2023-04-18 17:49:56,336秒,样本服务,,223.104.41.83(北京-北京),30,45,1,10,15,4,5,5,4,1,1,0,0,0,0,0,0,0,0,1,4,2,2,4,4,4,4,4,5,15,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,3,4,1,4,15,4,5,3,3,3,5,2,26,1,5,1,5,1,4,4,307,336.0,2,1,15,37.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,,0.875,0.75,0.5,1,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False
1428,2023-04-24 10:50:32,328秒,样本服务,,106.41.248.244(吉林-长春),23,22,2,5,8,4,5,3,3,1,1,0,0,0,0,0,1,0,0,3,4,2,4,4,5,3,5,3,5,12,4,5,3,5,4,4,5,3,4,3,1,4,4,5,3,4,2,1,4,20,3,3,4,3,5,5,2,28,1,5,2,5,1,4,4,261,328.0,3,1,-1,22.5,0.21739130434782608,0.36363636363636365,0.28888888888888886,-8,,0.75,0.775,0.5625,1,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False
778,2023-04-20 15:54:06,510秒,样本服务,,124.240.11.240(广东-广州),27,34,1,36,42,4,5,4,4,1,1,0,1,1,0,0,0,0,0,3,4,3,2,4,3,5,4,3,4,33,4,5,4,3,2,3,4,3,4,4,5,4,3,4,4,3,4,3,5,28,4,3,4,3,4,3,2,30,1,4,1,5,1,4,4,373,510.0,4,1,7,30.5,1.3333333333333333,1.2352941176470589,1.278688524590164,5,,0.625,0.6,0.625,1,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False
1088,2023-04-21 17:21:03,391秒,样本服务,,43.225.208.196(黑龙江-哈尔滨),10,10,3,4,4,4,5,4,5,0,1,0,0,0,0,0,0,0,0,3,4,5,4,5,4,5,4,4,5,4,4,4,4,4,5,4,2,4,4,3,3,4,3,4,3,3,4,2,4,4,4,4,5,5,5,5,2,55,1,3,2,2,1,4,4,247,391.0,1,1,0,10.0,0.4,0.4,0.4,0,,0.75,0.8416666666666667,0.4375,1,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False
1330,2023-04-23 10:17:13,407秒,样本服务,,118.212.210.210(江西-未知),15,15,3,2,5,4,5,5,4,1,1,0,0,0,0,0,0,0,0,1,4,1,2,1,4,4,5,4,5,10,5,4,4,2,4,4,3,5,3,4,3,4,4,4,2,4,3,2,4,10,3,4,3,4,5,3,1,45,1,4,2,6,1,3,2,242,407.0,2,1,0,15.0,0.13333333333333333,0.3333333333333333,0.23333333333333334,0,,1.0,0.6666666666666667,0.5,1,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False
928,2023-04-21 10:07:55,784秒,样本服务,,218.18.128.251(广东-深圳),26,32,2,15,20,5,4,4,5,1,1,1,0,0,0,0,1,0,0,5,5,2,2,2,4,4,2,4,4,21,4,5,4,4,5,3,4,4,5,4,5,4,4,4,5,4,4,2,4,13,4,4,2,2,1,5,2,28,1,5,1,4,1,4,4,300,784.0,4,1,6,29.0,0.5769230769230769,0.625,0.603448275862069,8,,0.5,0.825,0.75,1,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False
496,2023-04-19 15:39:46,404秒,样本服务,,223.104.196.150(山东-济宁),36,29,3,29,20,4,5,4,3,1,1,0,0,0,0,0,0,0,0,3,4,1,2,4,4,5,4,5,5,39,4,4,3,4,4,3,4,4,5,4,4,4,5,4,4,3,2,2,4,28,4,3,3,2,4,5,1,37,1,3,2,4,1,4,4,362,404.0,2,1,-7,32.5,0.8055555555555556,0.6896551724137931,0.7538461538461538,11,,0.75,0.675,0.5,1,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False
1382,2023-04-23 10:25:23,658秒,样本服务,,223.104.108.124(河南-开封),30,40,2,10,20,5,4,4,4,1,1,1,0,1,0,0,1,0,0,5,5,3,3,4,5,4,3,4,5,15,4,5,4,5,4,3,5,3,3,4,4,5,4,4,4,3,4,2,4,15,4,4,3,2,4,5,2,34,1,5,1,5,1,3,3,315,658.0,5,1,10,35.0,0.3333333333333333,0.5,0.42857142857142855,0,,0.5,0.625,0.8125,1,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False
1476,2023-04-24 11:00:26,397秒,样本服务,,114.96.80.149(安徽-芜湖),35,35,2,13,13,4,5,4,4,1,1,1,0,0,0,1,1,0,0,3,4,5,4,4,4,5,4,4,5,20,4,5,4,4,5,5,4,4,5,4,5,4,4,5,4,4,5,2,5,20,4,4,3,4,4,3,1,28,1,3,1,4,1,1,3,326,397.0,5,1,0,35.0,0.37142857142857144,0.37142857142857144,0.37142857142857144,0,,0.75,0.8333333333333334,0.6875,1,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False
772,2023-04-20 15:52:53,581秒,样本服务,,36.18.169.29(浙江-杭州),49,51,1,56,53,3,4,4,5,0,1,0,0,0,0,0,1,0,0,5,4,2,3,4,5,5,2,4,4,11,5,5,5,5,4,3,5,3,5,2,1,4,5,4,5,3,5,2,4,14,5,5,3,1,2,5,1,31,1,3,1,4,1,2,4,412,581.0,2,1,2,50.0,1.1428571428571428,1.0392156862745099,1.09,-3,,0.375,0.9083333333333333,0.5,1,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False
139,2023-04-18 10:42:38,598秒,样本服务,,220.195.105.54(浙江-温州),50,40,2,15,5,4,5,4,4,1,1,0,0,1,0,0,1,0,0,5,4,3,3,2,3,5,5,4,4,20,4,5,3,4,5,5,4,3,4,4,5,4,5,4,4,3,4,3,4,20,4,3,3,2,5,5,2,33,1,4,1,5,1,4,4,334,598.0,4,1,-10,45.0,0.3,0.125,0.2222222222222222,0,,0.75,0.7083333333333334,0.625,1,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False
546,2023-04-20 09:52:21,484秒,样本服务,,61.181.70.234(天津-天津),50,65,2,15,20,5,1,1,3,0,1,0,0,0,0,0,0,0,0,5,5,3,1,1,4,4,4,3,4,25,5,3,5,5,3,5,4,1,3,3,4,4,4,3,3,2,3,1,4,20,1,1,4,5,5,3,1,38,1,3,1,5,2,4,4,358,484.0,1,1,15,57.5,0.3,0.3076923076923077,0.30434782608695654,5,,0.375,0.5416666666666666,0.5625,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False
194,2023-04-18 17:49:18,582秒,样本服务,,113.214.179.144(浙江-杭州),26,45,1,19,42,3,5,3,3,1,1,0,0,1,1,0,0,0,0,3,3,5,4,5,3,5,1,4,3,28,3,5,3,3,5,3,1,3,3,3,4,2,3,4,3,3,5,3,3,24,3,5,4,1,3,4,2,27,1,6,1,5,1,4,4,342,582.0,4,1,19,35.5,0.7307692307692307,0.9333333333333333,0.8591549295774648,4,,0.25,0.5166666666666666,0.5,1,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False
86,2023-04-18 10:34:57,370秒,样本服务,,117.150.49.197(湖北-襄阳),36,35,2,19,17,5,3,3,4,1,0,0,0,1,0,0,1,0,0,5,5,1,2,4,4,4,3,5,5,31,5,5,5,5,5,4,4,4,3,4,5,4,4,4,5,4,4,1,4,16,4,4,3,2,5,5,1,43,1,3,3,5,1,4,4,349,370.0,3,1,-1,35.5,0.5277777777777778,0.4857142857142857,0.5070422535211268,15,,0.625,0.49166666666666664,0.6875,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False
641,2023-04-20 10:11:05,303秒,样本服务,,39.144.25.221(河南-平顶山),27,29,3,10,12,4,5,5,5,1,1,1,0,1,0,0,0,0,0,3,4,3,4,5,4,5,4,3,4,5,2,4,4,4,5,1,3,4,5,3,4,5,4,4,5,5,4,3,4,8,4,5,4,3,2,5,1,33,1,5,2,6,1,3,3,277,303.0,4,1,2,28.0,0.37037037037037035,0.41379310344827586,0.39285714285714285,-3,,0.75,0.9583333333333333,0.625,1,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False
554,2023-04-20 09:53:04,510秒,样本服务,,42.84.233.136(辽宁-大连),63,80,2,33,53,4,4,5,5,0,1,0,0,0,0,0,0,0,0,3,5,2,1,2,4,2,2,5,4,34,4,5,4,4,5,3,5,4,5,4,5,4,5,4,5,4,5,1,5,17,4,4,5,4,2,4,2,33,1,5,1,6,1,4,4,464,510.0,1,1,17,71.5,0.5238095238095238,0.6625,0.6013986013986014,17,,0.5,0.7166666666666667,0.5625,1,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False
