respondent_id,submitted_at,duration_raw,source,source_detail,ip_address,q3_morning_commute_minutes,q4_evening_commute_minutes,q5_route_type,q6_morning_congestion_minutes,q7_evening_congestion_minutes,q8_1_congestion_problem,q8_2_reroute_frequency,q8_3_confidence,q8_4_return_normal,q9_car_nav,q9_phone_nav,q9_social_media,q9_web_announcement,q9_radio_announcement,q9_tv_announcement,q9_word_of_mouth,q9_visual_confirmation,q9_none,q9_other,q10_when_seek_info,q11_1_seek_info,q11_2_disagree_guidance,q11_3_ignore_guidance,q11_4_cancel_trip,q12_1_workzone,q12_2_special_event,q12_3_weather,q12_4_peak,q12_5_incident,q13_delay_threshold_minutes,q14_1_prefer_familiar,q14_2_familiar_enables_detour,q14_3_prefer_highway,q14_4_reliability_important,q14_5_multi_choices,q14_6_no_detour_if_longer,q14_7_lane_closure_impact,q14_8_choose_smooth,q14_9_immediate_detour,q14_1_prefer_familiar_1,q14_1_prefer_familiar_2,q14_1_prefer_familiar_3,q14_1_prefer_familiar_4,q14_1_prefer_familiar_5,q14_1_prefer_familiar_6,q14_1_prefer_familiar_7,q14_1_prefer_familiar_8,q14_1_prefer_familiar_9,q14_2_familiar_enables_detour_1,q15_wait_before_detour_minutes,q16_1_commute_am,q16_2_commute_pm,q16_3_shopping,q16_4_leisure,q16_5_long_trip,q16_6_emergency,q17_gender,q18_age,q19_ethnicity,q20_income,q21_occupation,q22_education,q24_vehicle_nav,q25_home_location,q26_work_location,total_score,duration_seconds,num_info_channels,info_channel_binary
19,2023-04-17 16:22:52,322秒,样本服务,,14.116.199.169(广东-广州),21,37,2,19,24,4,3,4,4,1,1,0,0,0,0,1,0,0,0,2,4,4,3,4,4,3,4,4,5,19,5,5,4,5,5,3,4,4,4,4,4,5,5,4,4,3,4,2,5,21,2,3,5,5,3,4,2,31,1,7,1,6,1,4,4,325,322.0,3,1
20,2023-04-17 16:23:03,318秒,样本服务,,39.144.44.3(上海-上海),25,30,2,5,10,3,2,4,3,0,1,0,0,0,0,0,0,0,0,3,3,1,2,3,4,3,5,4,5,10,5,4,4,5,4,5,4,2,4,4,3,4,4,4,5,3,3,2,5,5,3,3,4,5,5,4,2,32,1,6,1,5,1,4,4,259,318.0,1,1
21,2023-04-17 16:23:06,320秒,样本服务,,112.38.127.59(山东-临沂),28,25,2,6,4,5,4,5,4,0,1,0,0,1,0,0,0,0,0,5,5,3,3,4,5,4,3,5,4,2,4,5,3,5,5,3,2,5,4,5,4,5,4,4,4,5,4,2,4,2,4,5,4,3,3,5,1,41,1,2,2,6,1,4,3,265,320.0,2,1
22,2023-04-17 16:23:24,463秒,样本服务,,183.218.149.245(江西-南昌),50,52,2,15,22,4,4,5,4,1,1,0,0,1,0,0,1,0,0,1,4,2,3,4,5,3,3,3,5,13,5,3,5,5,4,3,4,4,4,4,3,4,3,3,4,3,4,2,4,11,2,2,3,3,2,3,1,25,1,4,1,5,1,4,4,325,463.0,4,1
23,2023-04-17 16:23:32,472秒,样本服务,,113.66.35.138(广东-广州),30,40,2,10,15,5,4,5,4,1,1,0,0,0,0,0,0,0,0,5,5,2,1,2,5,4,5,4,2,15,4,5,4,4,5,4,5,4,4,5,4,5,4,5,4,2,1,2,4,15,5,4,4,5,5,4,1,28,1,3,2,5,1,4,4,305,472.0,2,1
24,2023-04-17 16:23:38,412秒,样本服务,,223.104.193.16(山东-聊城),30,38,2,5,10,5,4,5,3,1,1,0,0,0,0,1,1,0,0,5,5,4,5,5,5,4,4,5,5,40,5,5,4,5,4,5,5,3,4,5,4,4,3,5,4,4,5,1,5,5,5,4,5,4,5,5,2,28,1,3,1,5,1,3,4,325,412.0,4,1
26,2023-04-17 16:23:48,522秒,样本服务,,119.186.192.93(山东-枣庄),30,30,3,10,10,4,2,4,2,1,1,1,0,0,0,1,0,0,0,3,4,2,2,2,4,4,4,4,4,15,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,2,2,4,20,4,4,3,3,3,5,2,34,1,4,1,5,1,4,4,284,522.0,4,1
28,2023-04-17 16:24:01,311秒,样本服务,,115.227.53.222(浙江-杭州),35,35,2,8,7,5,5,5,4,0,1,0,0,0,0,0,1,0,0,3,5,2,2,3,2,4,5,5,5,12,4,4,5,5,4,4,5,4,4,4,5,5,5,4,5,5,5,1,5,12,5,3,4,4,5,5,2,28,1,3,2,4,1,3,4,300,311.0,2,1
29,2023-04-17 16:24:08,501秒,样本服务,,101.21.43.148(河北-邢台),59,52,2,25,25,5,4,4,3,1,0,1,0,1,0,0,0,0,0,5,4,2,3,2,5,4,5,5,4,37,4,3,4,5,4,3,4,4,3,4,3,4,4,4,4,4,5,1,5,33,5,4,3,3,4,5,1,45,1,6,1,5,1,4,3,424,501.0,3,1
30,2023-04-17 16:25:04,617秒,样本服务,,223.104.113.110(黑龙江-哈尔滨),35,46,2,13,24,5,3,5,5,1,1,0,0,1,0,1,1,0,0,3,3,2,2,3,5,5,4,5,5,10,5,5,3,5,5,5,5,3,4,4,5,5,4,5,5,3,5,2,5,10,4,4,3,3,5,5,1,37,1,2,1,4,1,4,4,336,617.0,5,1
31,2023-04-17 16:25:08,372秒,样本服务,,111.14.220.184(山东-济南),19,29,2,3,3,3,4,5,4,1,1,0,1,1,0,0,1,0,0,3,4,3,2,4,5,5,3,3,5,9,5,5,4,5,5,4,5,5,3,5,5,5,5,5,5,4,5,1,3,4,3,5,5,4,2,5,1,23,1,2,1,5,1,3,4,250,372.0,5,1
35,2023-04-17 16:25:35,468秒,样本服务,,182.123.153.56(河南-周口),20,25,3,10,20,4,5,4,4,1,1,0,0,1,0,0,0,0,0,5,5,2,2,2,5,5,4,4,5,30,5,3,2,4,4,5,5,4,5,4,5,5,4,4,5,5,4,2,5,15,4,4,5,5,5,5,1,28,1,3,1,4,1,3,4,309,468.0,3,1
36,2023-04-17 16:26:05,421秒,样本服务,,220.181.53.104(北京-北京),20,20,2,10,5,4,3,4,4,1,1,0,0,0,0,0,0,0,0,3,4,2,2,3,5,4,4,3,4,15,4,5,5,4,5,4,4,2,4,4,5,4,5,4,4,4,5,2,4,15,4,5,3,4,4,5,1,34,1,4,1,2,1,4,4,270,421.0,2,1
38,2023-04-17 16:26:59,394秒,样本服务,,223.104.176.12(辽宁-大连),30,38,2,12,14,4,5,4,4,1,0,0,1,1,1,1,0,0,0,2,4,2,2,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,5,4,2,4,8,4,4,5,4,5,5,2,31,1,3,1,5,1,4,4,294,394.0,5,1
40,2023-04-17 16:27:04,429秒,样本服务,,116.20.170.148(广东-佛山),23,30,2,9,13,4,3,3,2,1,1,0,0,1,0,0,0,0,0,3,4,2,2,4,4,5,4,5,5,30,4,3,3,5,4,4,5,4,3,4,4,4,4,4,4,3,4,3,4,30,4,3,3,4,4,4,1,47,1,1,1,4,1,3,3,326,429.0,3,1
41,2023-04-17 16:27:28,561秒,样本服务,,101.70.128.246(浙江-湖州),45,50,2,10,15,4,2,3,4,1,0,0,0,1,0,0,1,0,0,3,4,2,2,1,2,4,1,1,3,20,5,3,4,4,4,5,3,5,2,4,2,4,4,5,4,4,3,1,5,20,2,2,4,4,5,5,1,47,1,3,1,5,1,4,3,335,561.0,3,1
42,2023-04-17 16:27:28,462秒,样本服务,,43.250.200.67(湖南-长沙),35,40,3,10,15,5,4,3,4,1,1,0,0,0,0,0,0,0,0,3,4,2,2,3,5,5,5,5,5,20,5,5,3,5,4,3,4,3,5,3,4,4,4,4,5,3,4,1,4,60,4,4,3,3,3,4,2,30,1,6,1,5,1,4,4,358,462.0,2,1
43,2023-04-17 16:27:34,462秒,样本服务,,101.227.48.42(上海-上海),27,27,3,15,15,4,5,4,4,1,1,0,0,0,0,0,0,0,0,5,4,4,3,2,4,5,4,5,5,36,4,4,3,3,4,3,5,5,3,4,4,4,4,4,5,3,4,1,4,30,4,3,3,4,4,5,2,42,1,6,1,4,1,4,4,341,462.0,2,1
44,2023-04-17 16:27:56,472秒,样本服务,,117.136.106.78(河南-信阳),35,35,2,15,10,3,4,4,3,1,1,0,0,1,0,0,1,0,0,5,4,3,2,1,5,5,4,5,5,20,4,5,4,5,3,5,5,4,3,4,3,5,5,5,5,3,2,1,5,25,4,3,5,5,4,5,1,30,1,4,1,5,1,4,2,322,472.0,4,1
45,2023-04-17 16:28:12,603秒,样本服务,,113.245.31.114(湖南-湘潭),30,40,3,14,20,5,4,3,4,1,1,0,0,1,0,0,0,0,0,3,4,2,2,3,5,5,5,5,5,15,5,4,3,4,4,4,5,3,5,3,4,5,3,4,5,4,4,1,4,50,4,4,3,4,4,4,2,30,1,6,1,5,1,4,4,350,603.0,3,1
46,2023-04-17 16:28:16,528秒,样本服务,,223.104.247.15(浙江-杭州),60,60,3,20,30,4,5,3,4,1,1,0,0,1,0,0,0,0,0,1,5,3,3,3,4,4,3,4,4,30,5,4,4,4,4,5,4,5,3,4,4,4,4,4,4,3,4,2,4,30,3,3,3,3,4,4,2,38,1,5,1,4,1,4,4,414,528.0,3,1
49,2023-04-17 16:28:50,495秒,样本服务,,36.134.79.1(湖北-武汉),50,35,3,10,8,5,4,5,5,1,1,1,0,1,0,1,1,0,0,5,4,1,2,1,5,4,5,5,5,10,5,4,3,5,5,3,4,5,4,4,5,5,4,5,5,3,4,1,5,10,4,5,3,4,5,5,2,37,1,5,1,6,1,3,4,318,495.0,6,1
51,2023-04-17 16:32:09,802秒,样本服务,,223.104.20.104(湖北-武汉),42,39,2,12,9,5,4,4,5,1,0,0,0,0,0,0,1,0,0,5,4,2,2,4,5,4,4,4,5,6,4,2,2,4,4,5,5,4,4,5,2,5,4,4,4,5,4,2,4,4,4,4,3,3,4,5,1,43,1,6,1,6,1,4,4,305,802.0,2,1
52,2023-04-17 16:32:42,925秒,样本服务,,171.219.160.38(四川-成都),22,15,3,8,3,4,4,3,4,1,1,0,0,0,0,0,1,0,0,2,3,2,2,3,4,5,3,5,3,15,4,4,5,3,4,4,3,3,3,4,2,4,5,4,3,2,4,2,5,12,4,3,2,2,3,5,1,29,1,2,2,5,1,4,4,238,925.0,3,1
53,2023-04-17 16:34:17,931秒,样本服务,,117.159.93.90(河南-洛阳),30,40,2,10,20,5,4,3,3,0,1,0,0,1,0,1,1,0,0,3,5,3,3,4,5,3,3,5,4,20,4,5,3,5,3,3,4,5,4,4,5,5,4,4,5,3,3,1,5,30,4,5,3,4,4,5,2,29,1,5,1,5,1,4,4,331,931.0,4,1
54,2023-04-17 16:34:43,775秒,样本服务,,120.243.179.185(安徽-淮北),50,50,2,20,20,5,5,5,4,1,0,0,0,0,0,0,1,0,0,3,5,4,5,2,4,5,5,4,4,30,5,5,4,4,4,4,2,3,5,4,4,5,4,4,4,4,4,5,3,20,3,3,5,5,3,5,1,41,1,2,2,4,1,3,4,391,775.0,2,1
55,2023-04-17 16:36:35,832秒,样本服务,,112.36.6.234(山东-滨州),33,53,2,16,33,3,2,1,3,1,1,0,0,1,0,0,0,0,0,2,4,2,3,2,4,5,3,2,4,29,4,5,3,4,5,4,5,4,1,4,5,4,5,3,4,5,5,1,4,39,4,2,3,2,4,5,1,28,1,6,1,6,1,3,4,366,832.0,3,1
56,2023-04-17 16:37:13,926秒,样本服务,,39.144.170.22(江西-新余),20,20,3,10,10,4,4,5,3,1,1,0,0,0,0,1,1,0,0,1,4,2,2,3,4,3,3,4,5,30,4,4,3,4,4,5,5,4,4,4,3,5,5,4,4,4,5,2,4,15,3,4,2,4,5,5,1,32,1,5,1,5,1,3,4,285,926.0,4,1
57,2023-04-17 16:38:06,652秒,样本服务,,120.229.109.52(广东-东莞),30,25,2,8,3,3,2,3,4,1,1,0,0,0,0,1,1,0,0,3,4,3,2,3,5,4,3,3,3,20,5,4,3,4,5,5,4,1,4,3,4,3,4,4,4,4,4,2,4,20,2,2,4,4,5,5,2,30,1,3,1,4,1,3,4,273,652.0,4,1
58,2023-04-17 16:40:46,1497秒,样本服务,,114.99.52.222(安徽-安庆),25,30,3,8,13,4,4,4,5,0,1,0,0,0,0,0,1,0,0,3,4,2,2,3,4,5,2,4,3,15,5,4,3,4,4,5,5,5,4,4,5,4,4,5,5,4,2,1,5,12,4,3,4,2,5,5,1,33,1,3,1,5,1,4,3,285,1497.0,2,1
59,2023-04-17 16:44:30,567秒,样本服务,,223.104.190.130(山东-济南),36,44,2,14,28,5,5,5,5,0,1,0,0,0,0,1,1,0,0,1,5,1,1,4,5,5,5,5,5,17,5,4,4,5,5,3,4,5,5,1,4,5,5,5,5,5,5,1,5,17,5,5,4,4,5,3,2,30,1,7,1,5,1,4,4,351,567.0,3,1
62,2023-04-17 21:33:36,602秒,样本服务,,112.224.4.112(山东-济南),62,57,2,32,22,5,4,5,4,1,1,1,1,1,1,1,1,0,0,3,5,1,2,4,4,5,4,5,5,30,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,1,5,32,5,4,4,5,4,5,2,38,1,5,2,5,1,4,4,438,602.0,8,1
64,2023-04-18 10:25:52,345秒,样本服务,,180.166.206.162(上海-上海),40,40,2,10,10,4,3,3,3,0,1,0,0,0,0,0,0,0,0,1,3,3,3,3,4,4,3,3,4,15,4,3,3,5,4,5,4,3,3,2,3,4,4,5,3,3,2,1,5,15,4,4,3,3,4,5,2,32,1,3,1,5,1,3,4,296,345.0,1,1
65,2023-04-18 10:27:52,375秒,样本服务,,101.87.34.231(上海-上海),29,35,3,12,18,4,5,4,3,1,1,1,0,1,0,0,1,0,0,2,5,4,3,4,5,5,3,4,5,15,4,5,2,4,4,5,5,4,4,3,3,5,5,4,4,3,3,2,4,12,3,4,4,5,4,5,2,33,1,6,1,5,1,4,4,308,375.0,5,1
66,2023-04-18 10:28:09,488秒,样本服务,,113.111.193.129(广东-广州),60,60,2,10,20,4,4,3,4,1,1,0,0,0,0,1,1,0,0,5,4,1,3,3,4,5,3,4,5,20,3,2,4,4,5,3,4,5,5,4,5,3,4,5,3,4,3,1,5,30,3,4,2,3,2,5,2,30,1,6,1,4,1,4,4,370,488.0,4,1
68,2023-04-18 10:30:12,354秒,样本服务,,121.228.253.21(江苏-苏州),29,28,2,7,9,3,4,4,4,0,1,0,0,1,0,0,0,0,0,5,4,3,3,4,4,4,3,4,4,10,4,4,2,2,2,2,3,4,3,3,2,4,4,3,4,2,4,4,3,10,2,2,3,4,4,4,2,34,1,5,1,5,1,4,3,255,354.0,2,1
69,2023-04-18 10:30:23,396秒,样本服务,,122.188.246.201(湖北-随州),30,42,3,3,10,3,4,4,5,1,1,0,0,0,0,0,1,0,0,3,2,1,2,2,2,5,2,4,4,20,4,4,3,4,5,4,5,4,2,4,3,4,5,4,4,4,3,2,4,20,2,4,3,2,4,4,1,31,1,4,1,6,1,4,4,289,396.0,3,1
71,2023-04-18 10:30:46,506秒,样本服务,,123.135.105.58(山东-泰安),36,36,2,6,17,5,4,4,4,0,1,0,0,0,0,0,0,0,0,5,5,4,4,4,5,3,5,5,5,22,5,5,4,4,4,4,4,5,5,3,3,3,3,4,4,4,4,1,5,20,4,4,3,3,3,5,2,29,1,3,1,5,1,4,2,321,506.0,1,1
72,2023-04-18 10:32:17,543秒,样本服务,,222.209.161.227(四川-成都),37,27,2,12,10,4,5,4,4,1,1,1,0,0,0,0,1,0,0,1,4,3,2,1,4,5,3,4,4,9,5,2,5,5,4,4,4,4,4,4,4,2,4,4,4,3,3,4,2,12,4,5,3,3,4,5,2,28,1,5,1,5,1,4,4,279,543.0,4,1
73,2023-04-18 10:32:24,729秒,样本服务,,27.185.26.162(河北-石家庄),54,71,2,18,22,5,4,3,4,1,1,0,0,0,0,0,0,0,0,1,5,3,2,2,5,4,3,4,5,15,4,4,5,4,5,3,5,4,3,4,5,4,4,4,5,3,4,3,4,15,4,4,3,4,3,5,1,35,1,5,1,5,1,4,4,381,729.0,2,1
76,2023-04-18 10:32:58,519秒,样本服务,,36.143.146.51(河北-石家庄),57,54,2,46,41,5,4,3,4,0,1,0,0,0,0,0,0,0,0,1,4,2,2,4,4,4,5,4,4,36,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,2,4,4,3,35,4,4,3,4,4,5,1,30,1,5,1,5,1,4,4,449,519.0,1,1
77,2023-04-18 10:33:11,637秒,样本服务,,222.188.5.94(江苏-盐城),16,30,1,3,0,3,4,3,2,1,1,0,0,0,0,0,0,0,0,1,3,2,2,3,5,5,4,4,4,3,4,5,5,5,5,3,4,3,4,4,4,5,5,3,4,3,3,2,4,5,3,4,5,2,5,5,2,32,1,2,1,4,1,4,4,234,637.0,2,1
78,2023-04-18 10:33:35,541秒,样本服务,,117.183.234.130(广西-河池),30,35,3,15,20,5,4,3,5,1,1,0,0,1,0,0,1,0,0,3,5,3,3,1,5,5,5,5,5,15,5,5,3,5,5,3,5,3,5,5,5,5,5,5,5,5,3,1,5,15,5,5,5,3,3,5,1,52,2,7,1,5,1,4,4,347,541.0,4,1
79,2023-04-18 10:33:37,308秒,样本服务,,101.43.118.12(北京-北京),26,28,3,6,8,4,2,4,4,0,1,0,1,1,0,0,1,0,0,3,4,4,3,3,3,4,4,5,5,32,5,4,3,3,3,4,4,3,4,4,4,3,4,4,4,5,4,4,3,26,4,4,5,4,5,4,2,34,1,7,1,5,1,4,4,309,308.0,4,1
82,2023-04-18 10:33:57,512秒,样本服务,,42.122.140.104(天津-天津),43,54,2,53,55,5,3,3,2,0,1,0,0,1,0,0,0,0,0,2,4,2,2,3,5,5,5,4,4,24,5,3,3,5,4,4,4,5,4,4,4,4,5,4,4,4,4,2,4,24,2,2,3,4,4,5,2,36,1,3,1,6,1,4,4,434,512.0,2,1
85,2023-04-18 10:34:34,359秒,样本服务,,221.7.72.16(重庆-重庆),30,30,2,3,3,2,1,4,4,0,0,1,0,0,0,0,1,0,0,6,1,2,2,1,4,5,3,4,4,20,5,5,4,5,4,5,4,5,3,3,5,3,5,4,3,4,4,1,5,20,3,3,4,3,4,5,2,27,1,3,1,5,2,4,2,271,359.0,2,1
86,2023-04-18 10:34:57,370秒,样本服务,,117.150.49.197(湖北-襄阳),36,35,2,19,17,5,3,3,4,1,0,0,0,1,0,0,1,0,0,5,5,1,2,4,4,4,3,5,5,31,5,5,5,5,5,4,4,4,3,4,5,4,4,4,5,4,4,1,4,16,4,4,3,2,5,5,1,43,1,3,3,5,1,4,4,349,370.0,3,1
87,2023-04-18 10:35:10,585秒,样本服务,,218.94.87.152(江苏-南京),30,35,1,10,15,5,4,3,4,0,1,0,0,0,0,0,1,0,0,5,5,2,1,4,4,4,3,5,3,15,5,4,5,5,5,4,3,4,4,4,5,5,5,5,5,4,2,1,5,15,4,4,3,3,5,5,1,39,1,4,2,5,1,4,4,312,585.0,2,1
89,2023-04-18 10:35:42,517秒,样本服务,,202.113.13.58(天津-天津),42,31,2,12,4,3,2,3,3,1,0,0,0,0,0,0,0,0,0,1,4,2,2,2,3,2,2,3,3,12,4,4,3,4,3,3,4,4,3,3,3,4,4,4,3,4,4,2,4,12,3,3,4,4,4,4,2,32,1,5,2,5,1,4,4,270,517.0,1,1
91,2023-04-18 10:36:11,305秒,样本服务,,171.34.43.23(江西-南昌),36,36,2,19,18,3,2,4,4,1,0,0,1,0,1,0,0,0,0,3,3,2,4,4,3,2,5,4,4,41,4,5,4,4,3,4,5,4,2,5,3,4,4,5,5,4,3,1,4,33,4,3,4,4,2,4,2,31,1,5,3,5,1,2,2,354,305.0,3,1
92,2023-04-18 10:36:32,365秒,样本服务,,27.203.132.157(山东-威海),21,21,2,30,30,3,2,2,3,1,1,0,0,0,0,0,0,0,0,1,4,2,1,2,5,5,3,2,4,20,5,5,4,5,4,4,5,4,2,3,4,4,5,3,4,4,3,2,4,16,2,4,4,3,4,4,2,31,1,4,1,5,1,4,4,304,365.0,2,1
95,2023-04-18 10:36:42,440秒,样本服务,,58.56.56.180(山东-济南),50,40,2,10,10,4,3,4,4,0,1,0,0,0,0,1,1,0,0,2,4,3,2,3,4,4,3,3,4,10,4,4,3,4,4,3,4,5,4,4,5,4,4,4,4,4,4,4,2,10,5,5,3,4,4,4,1,34,1,3,1,5,1,4,4,310,440.0,3,1
97,2023-04-18 10:37:04,420秒,样本服务,,219.137.155.235(广东-广州),31,36,2,33,15,4,3,2,4,1,1,0,0,0,0,1,1,0,0,2,4,2,1,4,5,5,3,4,5,20,2,2,3,1,4,3,1,5,4,2,3,4,5,4,2,4,4,3,4,20,4,5,3,2,4,5,1,37,1,4,1,4,1,4,4,323,420.0,4,1
98,2023-04-18 10:37:06,376秒,样本服务,,39.144.230.151(贵州-未知),19,36,2,7,18,4,5,4,5,1,1,0,0,0,1,1,1,0,0,3,4,2,2,4,4,5,3,5,5,38,5,1,4,4,4,3,4,5,5,4,3,4,5,3,3,2,4,1,5,23,5,4,3,2,4,5,2,29,1,2,1,5,1,4,4,316,376.0,5,1
99,2023-04-18 10:37:09,401秒,样本服务,,123.135.80.149(山东-泰安),24,31,2,35,49,4,3,4,2,1,1,1,0,0,0,0,0,0,0,3,4,3,4,3,5,5,4,5,5,14,4,5,3,4,5,5,5,4,3,4,2,5,5,4,5,3,4,2,4,8,3,3,4,4,5,5,1,28,1,4,1,5,1,4,4,342,401.0,3,1
103,2023-04-18 10:37:30,607秒,样本服务,,117.141.253.10(广西-南宁),30,40,3,10,15,4,4,5,5,0,1,0,0,0,0,0,1,0,0,5,4,5,5,4,4,4,4,2,2,10,5,5,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,2,5,20,3,3,3,4,4,4,1,30,2,3,2,5,1,4,4,309,607.0,2,1
105,2023-04-18 10:37:33,479秒,样本服务,,223.66.53.83(江苏-常州),30,45,2,60,60,4,3,3,2,0,1,0,0,0,0,0,1,0,0,1,3,4,3,2,4,5,4,3,3,20,5,4,2,4,4,5,4,4,5,3,4,4,5,3,3,4,3,2,4,20,2,4,4,2,4,5,2,31,1,4,1,5,1,4,2,404,479.0,2,1
106,2023-04-18 10:37:34,544秒,样本服务,,112.230.205.50(山东-济南),40,50,2,15,10,4,5,3,4,1,1,1,0,0,0,0,1,0,0,2,4,5,3,4,2,3,4,3,3,15,5,4,3,4,5,4,3,5,4,4,3,5,4,3,4,5,4,2,4,12,3,4,5,4,3,4,1,27,1,5,2,6,1,4,4,316,544.0,4,1
107,2023-04-18 10:37:38,462秒,样本服务,,182.118.235.112(河南-洛阳),30,30,2,50,46,5,5,3,4,1,1,0,0,0,0,0,1,0,0,3,4,2,3,3,5,3,4,5,5,10,5,2,2,5,3,4,4,5,4,4,3,4,4,3,3,3,4,2,4,10,5,4,4,3,4,3,1,29,1,6,1,4,1,4,4,349,462.0,3,1
